id,group,du_health,du_heafood,du_hou_tsa,du_pollu,du_hou_bik
ID 627,Group 1,0,370,1246,0,1246
ID 628,Group 2,0,35,745,0,745
ID 687,Group 5,0,285,0,0,0
ID 632,Group 4,0,120,0,60,0
ID 633,Group 1,0,220,0,0,0
ID 634,Group 2,0,724,413,13,539
ID 635,Group 3,0,0,0,92,41
ID 636,Group 1,0,191,0,0,0
ID 637,Group 2,0,360,0,0,0
ID 638,Group 3,0,347,0,0,0
ID 639,Group 4,0,245,0,0,18
ID 640,Group 1,0,655,0,0,1241
ID 1745,Group 3,0,94,0,36,0
ID 641,Group 2,0,12,0,0,0
ID 642,Group 3,0,234,0,0,173
ID 643,Group 4,0,352,0,0,121
ID 644,Group 5,0,262,0,0,214
ID 648,Group 3,0,2702,2702,0,2723
ID 645,Group 6,0,1415,794,0,1364
ID 646,Group 1,0,1548,1548,364,1548
ID 647,Group 2,324,536,536,108,536
ID 649,Group 1,0,438,180,0,0
ID 650,Group 1,0,537,0,12,625
ID 651,Group 2,0,547,0,172,132
ID 658,Group 2,0,454,0,0,47
ID 652,Group 1,0,0,0,0,0
ID 653,Group 2,0,0,0,0,0
ID 654,Group 1,0,152,0,0,145
ID 655,Group 2,0,715,0,283,1605
ID 656,Group 3,0,0,0,0,0
ID 657,Group 1,0,0,0,0,0
ID 659,Group 3,0,411,0,0,0
ID 660,Group 1,0,2,0,0,0
ID 661,Group 2,0,169,0,0,312
ID 662,Group 3,0,0,0,0,0
ID 681,Group 2,0,40,0,0,0
ID 663,Group 1,0,0,0,1051,0
ID 664,Group 2,0,127,0,0,0
ID 665,Group 3,0,411,0,411,0
ID 666,Group 4,0,643,0,0,0
ID 667,Group 1,1225,1427,1240,1070,1410
ID 668,Group 1,0,356,27,0,0
